epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0239,1.7177,5.12234,1.3151,0,0,0,0,1.58552,5.13704,1.3269,3.234e-05,3.234e-05,3.234e-05
2,104.331,1.54752,4.92833,1.18105,0,0,0,0,1.50429,5.04308,1.21409,6.69506e-05,6.69506e-05,6.69506e-05
3,154.1,1.51633,4.61905,1.12496,0,0,0,0,1.53523,4.92572,1.16774,0.000100863,0.000100863,0.000100863
4,204.361,1.63129,4.26789,1.13681,0.07303,0.08956,0.05909,0.04393,1.51162,4.71385,1.11964,0.000134076,0.000134076,0.000134076
5,253.866,1.62553,3.90067,1.11555,0.0294,0.25963,0.0921,0.06256,1.55519,4.33959,1.15307,0.000166591,0.000166591,0.000166591
6,303.49,1.6503,3.47228,1.15857,0.72966,0.11171,0.10525,0.0703,1.59711,3.97944,1.19675,0.000198407,0.000198407,0.000198407
7,354.937,1.70834,3.25618,1.16617,0.72876,0.08348,0.11751,0.08023,1.55717,3.73298,1.18595,0.000229525,0.000229525,0.000229525
8,406.954,1.5383,3.20822,1.10345,0.77867,0.09718,0.14004,0.09255,1.59317,3.61969,1.19464,0.000259945,0.000259945,0.000259945
9,456.818,1.57962,2.9828,1.13315,0.75999,0.09399,0.14512,0.09092,1.56695,3.59876,1.19036,0.000270715,0.000270715,0.000270715
10,506.666,1.46785,2.76429,1.07129,0.64623,0.15716,0.17968,0.1163,1.56801,3.30769,1.18943,0.000267805,0.000267805,0.000267805
11,557.758,1.53468,2.77181,1.1091,0.63485,0.17851,0.17649,0.11521,1.53038,3.08323,1.16403,0.000264894,0.000264894,0.000264894
12,607.438,1.49783,2.62373,1.07099,0.74382,0.16893,0.20192,0.12914,1.53978,2.98987,1.15717,0.000261983,0.000261983,0.000261983
13,657.275,1.53336,2.47196,1.0839,0.71207,0.21499,0.20403,0.13216,1.52563,2.87486,1.14687,0.000259073,0.000259073,0.000259073
14,706.172,1.48695,2.40859,1.08744,0.77115,0.18415,0.22306,0.1493,1.48316,2.75542,1.1419,0.000256162,0.000256162,0.000256162
15,755.219,1.45474,2.23235,1.06222,0.75195,0.21915,0.23023,0.14973,1.4478,2.53586,1.12049,0.000253252,0.000253252,0.000253252
16,804.583,1.46492,2.31336,1.0881,0.81595,0.15987,0.22569,0.14347,1.45852,2.52192,1.10476,0.000250341,0.000250341,0.000250341
17,854.374,1.40999,2.24431,1.03357,0.7987,0.19259,0.23027,0.14753,1.4585,2.49099,1.10192,0.00024743,0.00024743,0.00024743
18,904.221,1.43296,2.12415,1.06269,0.68316,0.2343,0.25576,0.16479,1.47582,2.42632,1.10694,0.00024452,0.00024452,0.00024452
19,953.907,1.40315,2.04048,1.0318,0.79295,0.25876,0.27487,0.17164,1.51168,2.45358,1.11149,0.000241609,0.000241609,0.000241609
20,1003.95,1.3914,1.94685,1.04592,0.6955,0.24787,0.2716,0.1753,1.46906,2.40839,1.10516,0.000238699,0.000238699,0.000238699
21,1053.11,1.36931,1.91117,1.01022,0.54935,0.2463,0.27211,0.1714,1.48554,2.57906,1.11254,0.000235788,0.000235788,0.000235788
22,1103.51,1.40695,1.94769,1.07319,0.62673,0.24431,0.28327,0.17082,1.54216,2.46084,1.12521,0.000232877,0.000232877,0.000232877
23,1153.57,1.39479,1.94045,1.0229,0.76578,0.25373,0.29185,0.18565,1.48257,2.42015,1.10637,0.000229967,0.000229967,0.000229967
24,1203.74,1.35424,1.8383,1.03263,0.69794,0.2544,0.32864,0.20609,1.44076,2.31188,1.09112,0.000227056,0.000227056,0.000227056
25,1253.68,1.39583,1.90478,1.03635,0.58315,0.32723,0.33899,0.21364,1.43179,2.21023,1.07851,0.000224146,0.000224146,0.000224146
26,1302.98,1.37143,1.85965,1.03202,0.62472,0.30752,0.36815,0.23939,1.41006,2.08895,1.08071,0.000221235,0.000221235,0.000221235
27,1352.28,1.33304,1.71885,1.02138,0.62615,0.31852,0.35309,0.22431,1.41569,2.06597,1.09928,0.000218324,0.000218324,0.000218324
28,1402.11,1.31469,1.70099,1.01761,0.65116,0.32517,0.36286,0.22905,1.41705,2.12054,1.09545,0.000215414,0.000215414,0.000215414
29,1452.13,1.32337,1.79801,1.01756,0.60924,0.3659,0.37388,0.23449,1.42824,2.0504,1.09759,0.000212503,0.000212503,0.000212503
30,1502.01,1.27626,1.61357,0.99805,0.52921,0.37694,0.38781,0.24454,1.3872,2.0043,1.08988,0.000209593,0.000209593,0.000209593
31,1553.01,1.26328,1.65608,0.99045,0.54085,0.40651,0.39223,0.24219,1.46317,2.00515,1.11442,0.000206682,0.000206682,0.000206682
32,1603.99,1.3128,1.68898,1.01862,0.54162,0.38545,0.41715,0.26412,1.44649,1.98327,1.09631,0.000203771,0.000203771,0.000203771
33,1653.45,1.24052,1.69504,1.00113,0.62813,0.37766,0.42114,0.27809,1.38982,1.9822,1.06339,0.000200861,0.000200861,0.000200861
34,1703.49,1.25572,1.61773,0.99379,0.50678,0.43969,0.40346,0.25742,1.39779,1.9783,1.07002,0.00019795,0.00019795,0.00019795
35,1752.83,1.31879,1.63908,1.02236,0.50963,0.42746,0.41272,0.26566,1.45889,1.94236,1.11476,0.00019504,0.00019504,0.00019504
36,1802.91,1.30431,1.55231,1.011,0.60777,0.3974,0.4232,0.27249,1.50007,1.96222,1.12431,0.000192129,0.000192129,0.000192129
37,1852.82,1.2838,1.52531,1.00367,0.59317,0.37508,0.4173,0.2766,1.47266,1.9607,1.11194,0.000189218,0.000189218,0.000189218
38,1902.84,1.26236,1.50924,1.00532,0.51224,0.38602,0.4198,0.27272,1.44237,1.96843,1.10143,0.000186308,0.000186308,0.000186308
39,1952.42,1.22105,1.47814,0.99729,0.53821,0.39603,0.41221,0.26036,1.50436,1.96145,1.12107,0.000183397,0.000183397,0.000183397
40,2002.42,1.26233,1.54895,1.00399,0.58699,0.36505,0.43596,0.27684,1.48054,1.93833,1.10674,0.000180487,0.000180487,0.000180487
41,2051.09,1.2368,1.46219,0.98476,0.76746,0.33316,0.43445,0.27238,1.45734,1.9456,1.08535,0.000177576,0.000177576,0.000177576
42,2101,1.23543,1.42861,1.00648,0.65481,0.40897,0.44048,0.27588,1.43432,1.90551,1.08543,0.000174665,0.000174665,0.000174665
43,2150.41,1.18377,1.38562,0.97904,0.6467,0.41441,0.46079,0.29005,1.40889,1.83482,1.09552,0.000171755,0.000171755,0.000171755
44,2199.86,1.24706,1.43988,0.98716,0.64348,0.40942,0.45694,0.29458,1.42139,1.82437,1.09882,0.000168844,0.000168844,0.000168844
45,2248.84,1.22131,1.35062,0.98675,0.70102,0.3889,0.4375,0.28165,1.4209,1.91046,1.09131,0.000165934,0.000165934,0.000165934
46,2298.3,1.22024,1.38189,0.97617,0.58368,0.38925,0.42569,0.27069,1.42433,1.92024,1.09889,0.000163023,0.000163023,0.000163023
47,2348.78,1.24037,1.33982,0.99213,0.60972,0.36018,0.42911,0.27328,1.42165,1.85144,1.10511,0.000160112,0.000160112,0.000160112
48,2398.88,1.23377,1.32994,0.99194,0.52462,0.43193,0.44893,0.28655,1.40762,1.82566,1.10569,0.000157202,0.000157202,0.000157202
49,2448.64,1.25282,1.41903,0.98641,0.49947,0.4468,0.448,0.27837,1.41159,1.83492,1.09361,0.000154291,0.000154291,0.000154291
50,2497.55,1.21071,1.36694,0.98542,0.53214,0.40041,0.44373,0.27484,1.45326,1.84238,1.10457,0.000151381,0.000151381,0.000151381
51,2547.16,1.1777,1.29591,0.97851,0.50596,0.42284,0.42813,0.2715,1.427,1.90107,1.09799,0.00014847,0.00014847,0.00014847
52,2596.46,1.21311,1.34536,0.99391,0.59738,0.35983,0.41304,0.26609,1.4054,1.89443,1.09342,0.000145559,0.000145559,0.000145559
53,2646.85,1.19509,1.36068,0.97222,0.61401,0.35772,0.41858,0.27234,1.41489,1.84752,1.10678,0.000142649,0.000142649,0.000142649
54,2696.82,1.16612,1.29003,0.9753,0.48488,0.44487,0.42037,0.27539,1.39927,1.88279,1.09717,0.000139738,0.000139738,0.000139738
55,2746.04,1.15182,1.22611,0.96801,0.48208,0.47856,0.42491,0.27889,1.3927,1.88714,1.07946,0.000136828,0.000136828,0.000136828
